
n,hilos,tiempo_secuencial_s,tiempo_paralelo_s,speedup
128,1,0.000790,0.000671,1.1768
128,2,0.000625,0.000490,1.2750
128,4,0.000654,0.000393,1.6621
128,8,0.000688,0.000378,1.8196
128,16,0.000695,0.000686,1.0138
256,1,0.005611,0.005148,1.0898
256,2,0.005134,0.003196,1.6062
256,4,0.005196,0.003547,1.4650
256,8,0.005288,0.003709,1.4257
256,16,0.005219,0.001761,2.9635
512,1,0.041252,0.039653,1.0403
512,2,0.049527,0.021954,2.2559
512,4,0.039253,0.018043,2.1755
512,8,0.040012,0.013228,3.0249
512,16,0.039401,0.007219,5.4583
1024,1,0.295423,0.296846,0.9952
1024,2,0.297269,0.178284,1.6674
1024,4,0.308561,0.087892,3.5107
1024,8,0.305599,0.060187,5.0775
1024,16,0.307089,0.044271,6.9365
2048,1,2.216048,2.232190,0.9928
2048,2,2.201478,1.284961,1.7133
2048,4,2.217053,0.617887,3.5881
2048,8,2.222632,0.369099,6.0218
2048,16,2.207093,0.331720,6.6535
4096,1,15.834405,15.954800,0.9925
4096,2,15.800581,8.423140,1.8759
4096,4,15.818981,4.585665,3.4497
4096,8,15.786721,2.702411,5.8417
4096,16,15.939995,2.132087,7.4762
n,hilos,tiempo_secuencial_s,tiempo_paralelo_s,speedup
128,1,0.000834,0.000675,1.2363
128,2,0.000622,0.000518,1.1994
128,4,0.000657,0.000344,1.9112
128,8,0.000686,0.000643,1.0657
128,16,0.000668,0.000690,0.9684
256,1,0.005743,0.005202,1.1040
256,2,0.005088,0.003188,1.5963
256,4,0.005216,0.003251,1.6047
256,8,0.005247,0.003404,1.5414
256,16,0.005196,0.002502,2.0766
512,1,0.040684,0.038501,1.0567
512,2,0.038049,0.021880,1.7390
512,4,0.038986,0.012731,3.0623
512,8,0.038900,0.010114,3.8460
512,16,0.039183,0.007269,5.3903
1024,1,0.291086,0.293689,0.9911
1024,2,0.294322,0.176820,1.6645
1024,4,0.305851,0.088076,3.4726
1024,8,0.305939,0.056987,5.3686
1024,16,0.306055,0.043914,6.9694
2048,1,2.239451,2.239404,1.0000
n,hilos,tiempo_secuencial_s,tiempo_paralelo_s,speedup
128,1,0.006319,0.005496,1.1496
128,2,0.004912,0.004423,1.1106
128,4,0.004869,0.004104,1.1863
128,8,0.005125,0.009612,0.5331
128,16,0.015484,0.005473,2.8290
256,1,0.033879,0.031008,1.0926
256,2,0.020323,0.023209,0.8757
256,4,0.025506,0.014951,1.7059
256,8,0.023096,0.014373,1.6069
256,16,0.023696,0.010660,2.2230
512,1,0.126598,0.168599,0.7509
512,2,0.120161,0.099878,1.2031
512,4,0.120061,0.060506,1.9843
512,8,0.122823,0.058047,2.1159
512,16,0.131255,0.053353,2.4601
1024,1,0.915173,0.968170,0.9453
1024,2,0.903253,0.587765,1.5368
1024,4,0.931107,0.401495,2.3191
1024,8,0.934660,0.317751,2.9415
1024,16,0.924114,0.306500,3.0151
2048,1,6.670240,7.360812,0.9062
2048,2,6.665661,5.404770,1.2333
2048,4,9.844969,4.143310,2.3761
